index_code,index_name,change_pct,main_net_inflow,main_net_inflow_rate,max_net_inflow,max_net_inflow_rate,lg_net_inflow,lg_net_inflow_rate,mid_net_inflow,mid_net_inflow_rate,sm_net_inflow,sm_net_inflow_rate,stock_code,stock_name
BK0948,MicroLED,10.19,2840799376.0,1.86,3761386592.0,2.46,-920587216.0,-0.6,-2163806624.0,-1.42,-676993120.0,-0.44,京东方Ａ,000725
BK0880,UWB概念,19.86,2193006896.0,0.71,6626940208.0,2.15,-4433933312.0,-1.44,-3862915072.0,-1.25,1669908736.0,0.54,京东方Ａ,000725
BK0715,航母概念,19.23,1990110576.0,0.48,4862260080.0,1.18,-2872149504.0,-0.7,-5262496000.0,-1.27,3272384256.0,0.79,海兰信,300065
BK1151,短剧互动游戏,15.67,1942776912.0,0.71,6221113168.0,2.26,-4278336256.0,-1.56,-4058478208.0,-1.48,2115701104.0,0.77,岩山科技,002195
BK1057,电子纸概念,4.67,1900333824.0,2.35,2594533840.0,3.21,-694200016.0,-0.86,-1532902624.0,-1.9,-367431408.0,-0.45,京东方Ａ,000725
BK0684,京津冀,6.39,1771964656.0,0.88,3952841184.0,1.95,-2180876528.0,-1.08,-3142666752.0,-1.55,1370702592.0,0.68,巨力索具,002342
BK0625,通用航空,10.51,1643902224.0,0.62,3300667920.0,1.24,-1656765696.0,-0.62,-3926735872.0,-1.48,2277061120.0,0.86,中航西飞,000768
BK0437,煤炭行业,4.61,1523275104.0,1.71,981472240.0,1.1,541802864.0,0.61,-1585991152.0,-1.78,62715936.0,0.07,山西焦煤,000983
BK0972,快手概念,14.39,1519199952.0,0.46,5487847104.0,1.65,-3968647152.0,-1.19,-3102203904.0,-0.93,1583004160.0,0.47,每日互动,300766
BK0947,屏下摄像,6.35,1468444176.0,1.08,2842130048.0,2.09,-1373685872.0,-1.01,-2037308560.0,-1.5,568864608.0,0.42,京东方Ａ,000725
BK1133,ERP概念,11.92,1443928240.0,1.55,1767092224.0,1.89,-323163984.0,-0.35,-1561915680.0,-1.67,101343152.0,0.11,汉得信息,300170
BK1142,裸眼3D,10.31,1294357760.0,1.33,2077322464.0,2.13,-782964704.0,-0.8,-1166327056.0,-1.2,-128030816.0,-0.13,京东方Ａ,000725
BK1034,电源设备,8.07,1237179664.0,0.64,1583025568.0,0.82,-345845904.0,-0.18,-963414016.0,-0.5,-273765440.0,-0.14,融发核电,002366
BK1172,AI语料,11.69,1225933872.0,0.55,5372779696.0,2.42,-4146845824.0,-1.87,-4148569952.0,-1.87,2922636384.0,1.31,岩山科技,002195
BK1065,气溶胶检测,6.86,1165882288.0,2.46,1591689152.0,3.36,-425806864.0,-0.9,-819310800.0,-1.73,-346571440.0,-0.73,京东方Ａ,000725
BK0726,工程咨询服务,7.32,1143182910.0,2.04,1014877470.0,1.81,128305440.0,0.23,-590890192.0,-1.05,-575180304.0,-1.03,华建集团,600629
BK0902,MiniLED,8.51,1081315328.0,0.27,2780279040.0,0.69,-1698963712.0,-0.42,-2721990144.0,-0.68,1640673024.0,0.41,京东方Ａ,000725
