概念代码,概念名称,涨跌幅(%),主力净流入,主力净占比(%),超大单净流入,超大单净占比(%),大单净流入,大单净占比(%),中单净流入,中单净占比(%),小单净流入,小单净占比(%),股票名称,股票代码
BK1188,DeepSeek概念,1.81,4164032512.0,2.16,5227341056.0,2.71,-1063308544.0,-0.55,-3254026240.0,-1.69,-890802176.0,-0.46,岩山科技,002195
BK0809,AI智能体,2.31,2164408576.0,1.87,3087947008.0,2.67,-923538432.0,-0.8,-1991737344.0,-1.72,-141389568.0,-0.12,岩山科技,002195
BK1127,AI芯片,2.11,1912888320.0,1.94,2588871168.0,2.62,-675982848.0,-0.68,-2468950272.0,-2.5,547368704.0,0.55,岩山科技,002195
BK1170,AI制药（医疗）,2.84,1861396224.0,4.49,2423960576.0,5.85,-562564352.0,-1.36,-1580113920.0,-3.81,-281282304.0,-0.68,岩山科技,002195
BK0845,百度概念,1.7,1745632512.0,1.01,2918449664.0,1.69,-1172817152.0,-0.68,-2625230336.0,-1.52,881931264.0,0.51,岩山科技,002195
BK1153,多模态AI,1.6,1701585920.0,2.55,2321869824.0,3.47,-620283904.0,-0.93,-1621624832.0,-2.43,-97674240.0,-0.15,岩山科技,002195
BK0800,人工智能,1.67,1677926400.0,0.32,6339223552.0,1.22,-4661297152.0,-0.9,-4662218752.0,-0.9,3159293952.0,0.61,岩山科技,002195
BK0145,上海板块,1.38,1562020864.0,0.58,3896294400.0,1.45,-2334273536.0,-0.87,-2706944000.0,-1.01,1103115776.0,0.41,岩山科技,002195
BK0706,人脑工程,3.43,1503936768.0,1.94,2110307072.0,2.72,-606370304.0,-0.78,-1149254400.0,-1.48,-354682368.0,-0.46,岩山科技,002195
BK0696,国产软件,2.11,1479154432.0,0.84,3082724352.0,1.75,-1603569920.0,-0.91,-1916971520.0,-1.09,476276736.0,0.27,岩山科技,002195
BK0447,互联网服务,2.25,1478685184.0,1.08,2846126336.0,2.09,-1367441152.0,-1.0,-2026983936.0,-1.49,559903488.0,0.41,岩山科技,002195
BK0689,阿里概念,1.47,1469932800.0,0.72,3820670976.0,1.88,-2350738176.0,-1.16,-2971380224.0,-1.46,1497591552.0,0.74,岩山科技,002195
BK0923,抖音概念(字节概念),1.86,1292947968.0,1.04,2425621248.0,1.95,-1132673280.0,-0.91,-1969514752.0,-1.58,682498048.0,0.55,岩山科技,002195
BK0655,网络安全,1.8,1177868032.0,0.86,3809841152.0,2.78,-2631973120.0,-1.92,-2453039616.0,-1.79,1278147584.0,0.93,岩山科技,002195
BK1151,短剧互动游戏,2.58,1087152896.0,1.94,2155094272.0,3.85,-1067941376.0,-1.91,-1375192832.0,-2.46,288040192.0,0.51,岩山科技,002195
BK1186,首发经济,1.03,974864896.0,3.2,1798479616.0,5.91,-823614720.0,-2.7,-1328892416.0,-4.36,350132224.0,1.15,岩山科技,002195
BK1159,Sora概念,1.94,682552576.0,1.07,1606306816.0,2.53,-923754240.0,-1.45,-1254435840.0,-1.98,571883008.0,0.9,岩山科技,002195
BK1172,AI语料,2.19,475734528.0,0.98,1087229696.0,2.24,-611495168.0,-1.26,-1218188800.0,-2.51,742454016.0,1.53,岩山科技,002195
BK0509,网络游戏,1.25,464212224.0,0.7,1886501632.0,2.84,-1422289408.0,-2.14,-1497937408.0,-2.25,1033725184.0,1.56,岩山科技,002195
BK0953,鸿蒙概念,1.24,197882880.0,0.21,1384476416.0,1.48,-1186593536.0,-1.27,-1459985920.0,-1.56,1250407680.0,1.34,岩山科技,002195
BK1111,AIGC概念,1.86,-182464000.0,-0.12,990504960.0,0.66,-1172968960.0,-0.79,-895797504.0,-0.6,1070486528.0,0.72,岩山科技,002195
