序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
1,002929,润建股份,47.45,6,19.58,51.53,通信服务
2,300713.SZ,英可瑞,17.97,6,4.36,21.93,其他电源设备
3,000633,合金投资,7.64,5,5.96,21.51,金属新材料
4,000880,潍柴重机,32.95,5,20.61,79.17,通用设备
5,001286,陕西能源,9.84,5,5.69,9.66,电力
6,002025,航天电器,65.76,5,31.18,73.17,军工电子
7,002090,金智科技,12.92,5,9.49,29.27,电网设备
8,002119,康强电子,18.68,5,13.42,40.73,半导体
9,002194,武汉凡谷,13.99,5,7.2,34.98,通信设备
10,002255,海陆重工,14.78,5,17.12,102.96,其他电源设备
11,002695,煌上煌,12.01,5,2.3,4.96,食品加工制造
12,300092,科新机电,16.96,5,7.41,28.97,专用设备
13,300560,中富通,17.54,5,8.54,50.92,通信服务
14,300693,盛弘股份,41.38,5,8.1,23.63,其他电源设备
15,300738,奥飞数据,22.85,5,23.58,41.6,通信服务
16,301041,金百泽,28.73,5,5.62,24.68,元件
17,301127,武汉天源,19.27,5,26.86,17.25,环境治理
18,301148,嘉戎技术,55.6,5,16.93,45.48,环境治理
19,600405,动力源,5.71,5,9.6,13.45,其他电源设备
20,600825,新华传媒,6.91,5,11.81,10.7,文化传媒
21,601789,宁波建工,5.27,5,5.61,14.58,建筑装饰
22,603334,丰倍生物,49.06,5,17.37,74.42,化学制品
23,688186,广大特材,25.3,5,11.55,26.19,风电设备
24,688257,新锐股份,41.16,5,20.07,18.5,通用设备
25,688392,骄成超声,144.48,5,28.77,18.98,电池
26,688521,芯原股份,169.98,5,24.1,24.52,半导体
27,688553,汇宇制药,22.0,5,23.66,15.89,化学制药
28,688592,司南导航,48.26,5,17.42,68.17,通信设备
29,002187,广百股份,8.69,4,17.43,43.28,零售
30,002199,*ST东晶,10.05,4,17.27,9.1,元件
31,002428,云南锗业,38.92,4,25.79,55.09,小金属
32,002523,天桥起重,4.47,4,4.93,17.44,专用设备
33,002713,*ST东易,11.47,4,21.63,0.22,建筑装饰
34,003007,直真科技,44.91,4,21.77,47.73,软件开发
35,300004,南风股份,13.4,4,10.47,47.52,专用设备
36,300129,泰胜风能,15.36,4,45.04,107.26,风电设备
37,300446,航天智造,28.66,4,15.99,91.02,汽车零部件
38,300554,三超新材,24.52,4,5.19,19.29,通用设备
39,600552,凯盛科技,13.91,4,14.49,32.54,光学光电子
40,600637,东方明珠,13.32,4,34.95,17.37,文化传媒
41,600822,上海物贸,11.33,4,5.99,8.09,汽车服务及其他
42,601608,中信重工,7.5,4,14.16,12.08,专用设备
43,603057,紫燕食品,27.25,4,37.63,10.66,食品加工制造
44,688143,长盈通,58.7,4,18.8,37.74,通信设备
45,688418,震有科技,57.29,4,33.86,56.68,通信设备
46,688562,航天软件,26.57,4,12.3,61.5,IT服务
47,000042,中洲控股,8.58,3,10.28,4.44,房地产
48,000070,特发信息,12.53,3,4.85,27.66,通信设备
49,000156,华数传媒,8.31,3,6.68,4.02,文化传媒
50,000628,高新发展,51.15,3,12.54,26.5,建筑装饰
51,000682,东方电子,12.59,3,3.45,5.27,电网设备
52,001215,千味央厨,47.17,3,23.81,22.29,食品加工制造
53,001330,博纳影业,8.0,3,5.4,24.39,影视院线
54,001373,翔腾新材,38.46,3,11.7,30.94,光学光电子
55,002171,楚江新材,14.22,3,7.89,31.25,工业金属
56,002264,新华都,9.7,3,8.14,40.33,文化传媒
57,002365,永安药业,15.83,3,2.19,11.16,化学制药
58,002446,盛路通信,12.15,3,13.23,56.13,军工电子
59,002480,新筑股份,6.44,3,1.9,4.26,电力
60,002565,顺灏股份,22.3,3,20.93,93.94,包装印刷
61,002625,光启技术,55.41,3,11.85,6.66,军工装备
