trade_date,short_name,stock_code,close,change_cpt,turnover_ratio,a_net_amount,a_buy_amount,a_sell_amount,a_amount,amount,net_amount_rate,a_amount_rate,reason
2025-12-05,特发信息,000070,14.38,10.023,19.1212,58838179.08,287563385.08,228725206.0,516288591.08,2315383377.0,2.541185173241,22.298190278491,日涨幅偏离值达到7%的前5只证券
2025-12-05,海王生物,000078,5.29,9.9792,22.7495,0.0,13245294437.63,13245294437.63,26490588875.26,13245294437.63,0.0,200.0,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券
2025-12-05,海王生物,000078,5.29,9.9792,22.7495,-8174133.55000001,257572404.19,265746537.74,523318941.93,3099607704.0,-0.2637150998,16.883392735625,日涨幅偏离值达到7%的前5只证券
2025-12-05,海王生物,000078,5.29,9.9792,22.7495,-56963709.9500001,520928337.76,577892047.71,1098820385.47,7583440056.0,-0.751159230235,14.489735230393,连续三个交易日内，涨幅偏离值累计达到20%的证券
2025-12-05,新金路,000510,10.41,3.7886,34.9411,34732690.11,306873175.87,272140485.76,579013661.63,2238101217.0,1.551882008114,25.87075406742,日换手率达到20%的前5只证券
2025-12-05,航天发展,000547,20.57,10.0,37.9769,186452440.12,1542142125.43,1355689685.31,2897831810.74,11673952376.0,1.597166359042,24.823056642732,日涨幅偏离值达到7%的前5只证券
2025-12-05,航天发展,000547,20.57,10.0,37.9769,186452440.12,1542142125.43,1355689685.31,2897831810.74,11673952376.0,1.597166359042,24.823056642732,日换手率达到20%的前5只证券
2025-12-05,航天发展,000547,20.57,10.0,37.9769,317052176.61,3669015048.83,3351962872.22,7020977921.05,36777781876.0,0.862075308617,19.090270165618,连续三个交易日内，涨幅偏离值累计达到20%的证券
2025-12-05,航天发展,000547,20.57,10.0,37.9769,186452440.12,1542142125.43,1355689685.31,2897831810.74,11673952376.0,1.597166359042,24.823056642732,日振幅值达到15%的前5只证券
2025-12-05,惠天热电,000692,4.2,-7.6923,26.3842,-51193110.03,75995121.0,127188231.03,203183352.03,607149040.0,-8.431720493209,33.465152482165,日跌幅偏离值达到7%的前5只证券
2025-12-05,航天科技,000901,21.23,10.0,10.9811,327625826.6,472111760.05,144485933.45,616597693.5,1803043651.0,18.170709645232,34.197602102313,日涨幅偏离值达到7%的前5只证券
2025-12-05,双枪科技,001211,29.0,-9.9658,29.9458,-32668831.89,38416434.0,71085265.89,109501699.89,604288092.0,-5.406168402537,18.120777380799,日跌幅偏离值达到7%的前5只证券
2025-12-05,双枪科技,001211,29.0,-9.9658,29.9458,-32668831.89,38416434.0,71085265.89,109501699.89,604288092.0,-5.406168402537,18.120777380799,日振幅值达到15%的前5只证券
2025-12-05,楚环科技,001336,24.36,-10.0111,11.0151,-14180542.0,11067908.0,25248450.0,36316358.0,125734381.0,-11.278173787645,28.883395067575,日跌幅偏离值达到7%的前5只证券
2025-12-05,太阳电缆,002300,10.36,9.9788,25.5872,-5513756.72999999,202898496.37,208412253.1,411310749.47,1759083542.0,-0.313444847749,23.382104354314,日涨幅偏离值达到7%的前5只证券
2025-12-05,太阳电缆,002300,10.36,9.9788,25.5872,-5513756.72999999,202898496.37,208412253.1,411310749.47,1759083542.0,-0.313444847749,23.382104354314,日振幅值达到15%的前5只证券
2025-12-05,高乐股份,002348,6.2,-3.125,23.3919,-49189862.84,189388466.0,238578328.84,427966794.84,1374595524.0,-3.578497236544,31.134016324645,日振幅值达到15%的前5只证券
2025-12-05,和而泰,002402,48.08,-9.9963,20.3663,-263865451.85,604683631.59,868549083.44,1473232715.03,8052956715.0,-3.276628214808,18.294308130154,日跌幅偏离值达到7%的前5只证券
2025-12-05,雷科防务,002413,8.79,5.9036,36.2864,-51305942.0,467989386.02,519295328.02,987284714.04,4057730424.0,-1.2643999635,24.330958710332,日换手率达到20%的前5只证券
2025-12-05,顺灏股份,002565,11.9,9.9815,13.2603,-35692752.59,810482117.36,846174869.95,1656656987.31,8324996221.0,-0.428741967473,19.899792664543,连续三个交易日内，涨幅偏离值累计达到20%的证券
2025-12-05,双星新材,002585,6.93,10.0,12.7888,20890469.17,179385352.43,158494883.26,337880235.69,1596885250.0,1.308201022584,21.158704777942,连续三个交易日内，涨幅偏离值累计达到20%的证券
2025-12-05,海欣食品,002702,9.55,10.023,42.199,55672720.14,247419914.75,191747194.61,439167109.36,1755043072.0,3.172156913309,25.02315278562,日换手率达到20%的前5只证券
2025-12-05,海欣食品,002702,9.55,10.023,42.199,55672720.14,247419914.75,191747194.61,439167109.36,1755043072.0,3.172156913309,25.02315278562,日振幅值达到15%的前5只证券
