rank,concept_code,concept_name,change_pct,hot_value,hot_tag
1,886078,商业航天,3.321,64749.5,连续32天上榜
2,885939,海峡两岸,3.0471,28968.5,连续32天上榜
3,886069,人形机器人,1.6915,15253.5,连续267天上榜
4,885617,福建自贸区,3.565,13553.5,7天6次上榜
5,886065,可控核聚变,3.415,12107.5,
6,886038,超导概念,4.1528,7755.0,首次上榜
7,885517,机器人概念,1.6819,7158.0,连续102天上榜
8,886033,共封装光学(CPO),2.7259,5852.0,连续103天上榜
9,885700,军工,2.5391,4644.0,连续16天上榜
10,885756,芯片概念,1.5529,4262.5,连续17天上榜
11,885728,人工智能,1.4798,4135.5,连续18天上榜
12,886042,存储芯片,0.7531,3904.5,连续56天上榜
13,886032,固态电池,1.3457,3778.0,连续65天上榜
14,886021,国企改革,1.4183,3143.5,首次上榜
15,885343,稀土永磁,2.6228,3102.0,5天4次上榜
16,886015,创新药,0.3891,2948.5,连续137天上榜
17,885571,核电,2.2405,2711.5,
18,886084,光纤概念,3.6692,2671.5,首次上榜
19,885730,量子科技,2.1208,2389.0,首次上榜
20,885894,海南自贸区,1.7011,2372.0,连续29天上榜
