concept_code,concept_name,rank,change_pct,hot_value,hot_tag,trade_date
886078,商业航天,1,1.3271,1133158.0,连续41天上榜,20251218
885894,海南自贸区,2,-3.3696,394175.5,连续38天上榜,20251218
886033,共封装光学(CPO),3,-0.8166,174519.0,连续112天上榜,20251218
885939,海峡两岸,4,0.1049,156051.5,连续41天上榜,20251218
886054,光刻机,5,0.2435,151688.0,10天8次上榜,20251218
886042,存储芯片,6,-0.2365,119006.0,连续65天上榜,20251218
886044,液冷服务器,7,-0.9041,105159.0,10天8次上榜,20251218
885574,卫星导航,8,1.4413,99815.5,5天4次上榜,20251218
885736,无人驾驶,9,0.0498,70972.0,5天4次上榜,20251218
886065,可控核聚变,11,-1.0285,65727.5,连续11天上榜,20251218
886069,人形机器人,12,-0.4348,61064.5,连续276天上榜,20251218
885700,军工,14,0.5504,43982.0,10天9次上榜,20251218
885864,光刻胶,15,-0.7317,39010.5,连续14天上榜,20251218
885699,ST板块,16,0.3467,38199.5,连续72天上榜,20251218
886015,创新药,17,0.4963,37965.5,连续146天上榜,20251218
886032,固态电池,19,-0.9601,37197.5,连续74天上榜,20251218
886047,脑机接口,20,1.0969,33878.0,10天8次上榜,20251218
